id,age,age_group,gender,race,education,partyid,libcon,fo_dei,fo_jus_soli,fo_ukraine_mil,fo_israel_mil,fo_reduce_unequal,fo_schoolvax,fo_trans_mil,harris_likes,harris_dislikes,trump_likes,trump_dislikes,mipp_1,harris_therm,trump_therm
140001,50,45-54,1. Man,3. Hispanic,4. Bachelor's degree,7. Strong Republican,6. Conservative,7. Oppose a great deal,6. Oppose moderately,1. Favor a great deal,1. Favor a great deal,7. Oppose a great deal,7. Oppose a great deal,4. Neither favor nor oppose,NA,"She has had 3 1/2 yrs to make things better and her and Joe Bidens policies have only made things worse gas prices, food prices, energy prices, housing prices and much more!!!!",look at the cost of everything I stated before when he was President and the border was under control for the first time in my lifetime.,NA,immigration we can't take care of our own people yet alone a million others,0,85
140002,41,35-44,2. Woman,"4. Asian or Native Hawaiian/other Pacific Islander, non-Hispanic","3. Some post-high school, no bachelor's degree",4. Independent,4. Moderate; middle of the road,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,2. Favor a moderate amount,1. Favor a great deal,4. Neither favor nor oppose,NA,NA,NA,NA,"The cost of everything, people can not afford groceries or housing basic needs to live. When more than half or your check is going to food you can not plan and save for emergencies.",50,50
140003,44,35-44,2. Woman,"1. White, non-Hispanic","3. Some post-high school, no bachelor's degree",1. Strong Democrat,2. Liberal,4. Neither favor nor oppose,7. Oppose a great deal,1. Favor a great deal,7. Oppose a great deal,2. Favor a moderate amount,1. Favor a great deal,1. Favor a great deal,She is a woman who advocates for reproductive rights and will defend our democracy from the far right.,NA,NA,I disagree with him on literally EVERYTHING. He is totally incompetent and is not a fit candidate for president.,threats to democracy,85,0
140004,45,45-54,1. Man,"4. Asian or Native Hawaiian/other Pacific Islander, non-Hispanic","3. Some post-high school, no bachelor's degree",6. Not very strong Republican,99. Haven't thought much about this,6. Oppose a moderate amount,6. Oppose moderately,6. Oppose moderately,7. Oppose a great deal,4. Neither favor nor oppose,1. Favor a great deal,4. Neither favor nor oppose,NA,NA,strong personality,NA,economy and leadership.,85,NA
140005,80,NA,1. Man,"1. White, non-Hispanic",5. Graduate degree,5. Independent-Republican,4. Moderate; middle of the road,6. Oppose a moderate amount,2. Favor moderately,4. Neither favor nor oppose,6. Oppose moderately,4. Neither favor nor oppose,7. Oppose a great deal,7. Oppose a great deal,NA,"Economy, border security, killing private insurance, food and gas prices, illegals allowed to stay, vote, receive all benefits that non illegals receive.","economy, border security, keep my insurance, gas and food prices","bio weapon injections, spending,","Economy, Border,",0,60
140006,75,NA,2. Woman,"1. White, non-Hispanic","3. Some post-high school, no bachelor's degree",3. Independent-Democrat,4. Moderate; middle of the road,4. Neither favor nor oppose,4. Neither favor nor oppose,1. Favor a great deal,4. Neither favor nor oppose,3. Favor a little,1. Favor a great deal,4. Neither favor nor oppose,She is a proven leader who cares about this country and democracy,NA,NA,He is a criminal douche bag and in no way qualified for any office in this country,Donald trump and elon musk,85,0
140007,41,35-44,2. Woman,"1. White, non-Hispanic","3. Some post-high school, no bachelor's degree",4. Independent,4. Moderate; middle of the road,4. Neither favor nor oppose,2. Favor moderately,2. Favor moderately,2. Favor moderately,1. Favor a great deal,4. Neither favor nor oppose,7. Oppose a great deal,NA,NA,NA,he acts ridiculous,"immigration, education, health",0,100
140008,49,45-54,2. Woman,"1. White, non-Hispanic","3. Some post-high school, no bachelor's degree",6. Not very strong Republican,99. Haven't thought much about this,4. Neither favor nor oppose,4. Neither favor nor oppose,7. Oppose a great deal,4. Neither favor nor oppose,2. Favor a moderate amount,1. Favor a great deal,4. Neither favor nor oppose,NA,NA,NA,simple hes a pig,minimum wage is way too low for the cost of living,50,50
140010,45,45-54,1. Man,3. Hispanic,2. High school credential,3. Independent-Democrat,99. Haven't thought much about this,2. Favor a moderate amount,7. Oppose a great deal,4. Neither favor nor oppose,6. Oppose moderately,2. Favor a moderate amount,1. Favor a great deal,4. Neither favor nor oppose,NA,NA,NA,"he’s an idiot.it bothers me that he is the face and voice of my country. he acts like a child. he’s to old and I’m just tired of hearing,seeing his face and voice","justice system no one is held accountable when someone innocent is sent to jail, close the border. give citizenship to those people who haven't committed any crimes and have been productive in society. and quit getting involved in other peoples conflicts.",0,0
140011,41,35-44,2. Woman,3. Hispanic,2. High school credential,1. Strong Democrat,99. Haven't thought much about this,2. Favor a moderate amount,2. Favor moderately,6. Oppose moderately,6. Oppose moderately,4. Neither favor nor oppose,4. Neither favor nor oppose,6. Oppose a moderate amount,NA,NA,NA,NA,a lot of people are evil. And because of other people letting them get away with it gives them the idea their allowed to do anything so bad people deserve to die. Or try make them suffer in the worst ways imaginable.,NA,NA
