,county,num_households,mean_income,percent_employed,percent_bachelors,percent_graduate,state
0,"Baldwin County, Alabama",98854.0,110518,58.2,33.5,13.2,Alabama
1,"Calhoun County, Alabama",45701.0,81886,56.4,21.1,6.4,Alabama
2,"Cullman County, Alabama",35966.0,90641,59.5,20.1,7.2,Alabama
3,"DeKalb County, Alabama",26459.0,73125,57.9,13.6,5.9,Alabama
4,"Elmore County, Alabama",34061.0,94754,61.3,22.5,9.2,Alabama
5,"Etowah County, Alabama",39956.0,85603,56.4,16.9,6.1,Alabama
6,"Houston County, Alabama",42417.0,101420,59.6,24.3,8.6,Alabama
7,"Jefferson County, Alabama",271877.0,117921,61.6,37.6,16.1,Alabama
8,"Lauderdale County, Alabama",39021.0,94510,59.0,25.4,9.4,Alabama
9,"Lee County, Alabama",71830.0,110556,61.0,42.3,18.8,Alabama
10,"Limestone County, Alabama",40036.0,125849,61.0,34.0,15.3,Alabama
11,"Madison County, Alabama",166454.0,136715,65.4,46.7,19.7,Alabama
12,"Marshall County, Alabama",36611.0,82474,56.7,20.3,6.7,Alabama
13,"Mobile County, Alabama",162605.0,96124,58.3,25.4,8.5,Alabama
14,"Montgomery County, Alabama",90527.0,92084,60.0,36.4,15.9,Alabama
15,"Morgan County, Alabama",49140.0,95884,58.6,24.9,8.0,Alabama
16,"St. Clair County, Alabama",35558.0,93515,60.0,19.5,5.1,Alabama
17,"Shelby County, Alabama",87755.0,137016,67.4,49.7,17.7,Alabama
18,"Talladega County, Alabama",34679.0,92702,52.7,17.2,6.1,Alabama
19,"Tuscaloosa County, Alabama",89075.0,107186,60.3,33.9,14.0,Alabama
20,"Anchorage Municipality, Alaska",109856.0,140368,70.5,37.9,14.1,Alaska
21,"Fairbanks North Star Borough, Alaska",37356.0,116669,67.0,28.5,10.4,Alaska
22,"Matanuska-Susitna Borough, Alaska",39942.0,114365,61.6,21.8,8.3,Alaska
23,"Apache County, Arizona",20690.0,67116,44.4,14.0,4.6,Arizona
24,"Cochise County, Arizona",49981.0,87665,48.6,27.7,11.1,Arizona
25,"Coconino County, Arizona",53988.0,106094,61.3,42.1,19.0,Arizona
26,"Maricopa County, Arizona",1726554.0,127334,65.1,36.1,13.3,Arizona
27,"Mohave County, Arizona",99512.0,103630,44.6,15.1,5.9,Arizona
28,"Navajo County, Arizona",41415.0,77607,47.8,19.5,8.1,Arizona
29,"Pima County, Arizona",436469.0,109880,57.8,37.1,15.8,Arizona
30,"Pinal County, Arizona",164281.0,104236,55.2,22.9,8.2,Arizona
31,"Yavapai County, Arizona",110928.0,102960,47.0,29.0,11.2,Arizona
32,"Yuma County, Arizona",80857.0,75782,52.5,16.6,5.7,Arizona
33,"Benton County, Arkansas",112045.0,125241,67.8,38.5,13.7,Arkansas
34,"Craighead County, Arkansas",44528.0,101501,64.9,25.7,11.1,Arkansas
35,"Faulkner County, Arkansas",49270.0,98727,58.4,29.5,10.9,Arkansas
36,"Garland County, Arkansas",45340.0,90530,55.6,25.9,11.7,Arkansas
37,"Jefferson County, Arkansas",24326.0,70301,51.2,21.5,6.3,Arkansas
38,"Lonoke County, Arkansas",28268.0,85331,59.0,21.1,6.4,Arkansas
39,"Pulaski County, Arkansas",174628.0,113168,61.5,37.7,15.8,Arkansas
40,"Saline County, Arkansas",50237.0,97721,61.2,27.8,9.1,Arkansas
41,"Sebastian County, Arkansas",52078.0,92472,60.3,20.8,7.9,Arkansas
42,"Washington County, Arkansas",98935.0,105776,64.4,35.3,14.2,Arkansas
43,"White County, Arkansas",29805.0,76149,57.4,21.0,9.5,Arkansas
44,"Alameda County, California",596614.0,196564,66.3,53.5,24.3,California
45,"Butte County, California",82494.0,115685,59.1,34.5,13.0,California
46,"Contra Costa County, California",415194.0,189134,64.5,45.1,18.1,California
47,"El Dorado County, California",74376.0,167266,57.8,38.4,14.5,California
48,"Fresno County, California",326981.0,104189,63.0,24.2,8.3,California
49,"Humboldt County, California",56785.0,104975,59.4,32.6,12.6,California
50,"Imperial County, California",50877.0,82632,54.3,16.8,4.2,California
51,"Kern County, California",283510.0,99064,59.2,19.0,6.5,California
52,"Kings County, California",43646.0,91760,56.3,15.9,3.9,California
53,"Lake County, California",27058.0,89712,47.9,18.6,6.2,California
54,"Los Angeles County, California",3415726.0,134841,65.1,35.6,12.9,California
55,"Madera County, California",45539.0,104193,55.7,21.4,7.3,California
56,"Marin County, California",103285.0,268677,62.4,62.6,28.6,California
57,"Mendocino County, California",34998.0,117233,57.4,24.7,9.0,California
58,"Merced County, California",87830.0,95583,60.7,16.2,4.6,California
59,"Monterey County, California",132411.0,127606,58.9,27.5,10.5,California
60,"Napa County, California",51025.0,157415,61.8,39.9,16.0,California
61,"Nevada County, California",44000.0,133123,50.4,39.3,12.9,California
62,"Orange County, California",1085225.0,164633,65.4,43.7,16.2,California
63,"Placer County, California",160203.0,166899,61.8,41.6,15.2,California
64,"Riverside County, California",769475.0,119295,62.3,25.0,9.2,California
65,"Sacramento County, California",572744.0,125299,63.6,33.8,11.9,California
66,"San Benito County, California",20610.0,140434,65.3,26.9,8.2,California
67,"San Bernardino County, California",674191.0,106599,62.9,23.0,8.5,California
68,"San Diego County, California",1172343.0,146399,66.3,43.0,17.0,California
69,"San Francisco County, California",361912.0,243504,69.0,61.4,26.2,California
70,"San Joaquin County, California",241903.0,122404,63.0,22.9,7.3,California
71,"San Luis Obispo County, California",111713.0,167866,59.3,41.2,14.6,California
72,"San Mateo County, California",262122.0,255531,65.9,54.1,25.4,California
73,"Santa Barbara County, California",150851.0,153322,62.6,37.1,15.1,California
74,"Santa Clara County, California",656477.0,240446,67.2,56.7,28.3,California
75,"Santa Cruz County, California",96015.0,168688,61.8,43.1,18.2,California
