country,party_id,party,family,eu_position,lrecon,galtan,lrgen,immigrate_policy,multiculturalism,redistribution,climate_change,environment,spendvtax,deregulation,civlib_laworder,womens_rights,lgbtq_rights,samesex_marriage,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,executive_power,judicial_independence,corrupt_salience,anti_islam,people_v_elite,eu_foreign,eu_intmark,eu_russia
Belgium,102,PS,Socialist,5.7777777,2.4444444,2.7777777,2.5555556,3.2222223,3.1111112,2.4285715,4,3,2.2,3.3333333,2.6666667,3,1,2.1428571,4.25,2.3333333,3.75,4,5.75,5.5,4.5,1.75,0.5,0,4,5,3.5,4.5
Belgium,103,Vooruit,Socialist,6.0999999,4.0999999,3.0999999,4.3000002,5,5.1111112,3.5,3.4000001,3.2,3.1666667,4,3.3333333,2.4285715,0.5,1.5714285,4.4000001,5,3.75,4,5.25,5.5,4,2,0.5,1.5,4,5,4.5,3.3333333
Belgium,104,Ecolo,Green,5.8888888,2.4444444,1.5555556,2.4444444,2.4444444,2.4285715,2.7142856,0,1,2.2,3.6666667,1.3333334,2.3333333,0,0.83333331,5.75,1.75,1.75,3,5.75,6.75,2.5,1.5,0.5,0,6,5.5,5,6
Belgium,105,Groen,Green,5.9000001,2.7,1.6,2.5,2.5999999,2.5555556,2.5,0,1,2.3333333,3.6666667,1.6666666,2,0,0.85714287,5.4000001,2.25,1.75,3,5.5,6.25,2.5,1.4,0.5,0.5,6,5.5,5,4.6666665
Belgium,106,MR,Liberal,6.4444447,8,5.2222223,7.4444447,6.5,7.25,7.8571429,5.5,7.4000001,8.3999996,8,6,4.8000002,1,2.5714285,1.5,6.75,4,6,1.75,6.25,6.5,4.25,0.5,5,2.6666667,5,7,2.3333333
Belgium,107,Open Vld,Liberal,6.6999998,7,3,6.3333335,5.5999999,5.7777777,6.625,4.8000002,6,7.6666665,7.3333335,4.6666665,2.4285715,0.5,1.1428572,1.2,5,2.75,4.5,2,5.25,6,1.4,0.5,1.5,4,5.5,7,2
Belgium,109,CD&V,Christian-Democratic,6.6999998,5.5999999,6.8000002,5.6999998,5.5,5.6666665,5,5.1999998,6.4000001,5,4.6666665,5,4,3,5.125,6.5999999,5.75,5.25,7.6666665,5.25,4,4,1.6,0.5,1.5,3.3333333,5.5,6,3.6666667
Belgium,110,N-VA,Regionalist,4.5,7.5,7.0999999,7.5,8.1999998,7.7777777,6.875,5.5999999,6.8000002,8.5,6.3333335,8,4.1428571,3,3.1428571,3,8,7.5,5.6666665,2.75,0.5,5.5,5.4000001,0.5,5.6666665,2.6666667,4,6,1
Belgium,112,VB,Radical Right,2,7,8.8999996,9.1999998,9.8999996,9.8888893,5.25,7,8,6,5.5,9.333333,5.5714288,7.5,6.8571429,3.4000001,9.75,9.25,5,7,1.25,6,6,0.5,9,7.6666665,2,2.5,5.6666665
Belgium,119,PVDA-PTB,Radical Left,2.4444444,0.80000001,3.2,0.80000001,2.7777777,2.5,0.625,4.75,5,1,1.6666666,2,2.5714285,2.5,2.5714285,5.75,2,4.75,2.5,7.25,8,8,2.5,0.5,0.5,8,1.5,2,7
Denmark,201,S,Socialist,5.818182,4.090909,4,4,7.2727275,7.7777777,3.5999999,4,3.5999999,3.5,3.75,7,3.5,3.5999999,1.6,1.3333334,6,7,4.75,4.6666665,5,6,1.6666666,2.5999999,6,2.5,4.3333335,5,1.5
Denmark,202,RV,Liberal,7,5.5454545,1.7272727,4.909091,3,3.2222223,5.5,2.8333333,1.8,5.6666665,5.25,4.5,2.3333333,1.4,1.4,1,3,2,4.25,2.8333333,5.75,4.8333335,1,2.5999999,1,3,6,6.25,3
Denmark,203,DKF,Conservatives,5.5454545,7,5.909091,7,7.181818,7.3333335,7,4.6666665,5.1999998,7,5.75,7.25,5.1666665,5.5999999,2.25,2,6,7.3333335,4.75,2.8333333,5.75,5.3333335,1.3333334,2.5999999,4,3.25,4.3333335,6.25,0.75
Denmark,206,SF,Green,5.5454545,2.7272727,3,2.7272727,4.6363635,4.7777777,2.5,3.3333333,2.2,2.1666667,2.5,5.25,2,2,1.6,1,3.5,5.5,4.5,5.5,5.5,4,1,2.5999999,3,3.25,4.6666665,4.25,2.75
Denmark,211,V,Liberal,6,6.5454545,4.6363635,6.6363635,7.090909,7.4444447,6.1999998,5.1666665,5.8000002,6.6666665,4.75,6.75,4.5,4,1.6,1.3333334,6.5,6.6666665,5.75,3.5,4.25,5.8333335,1.6666666,2.5999999,5,2.5,5,6,1.75
Denmark,213,EL,Radical Left,3.090909,1.3636364,1.9090909,1.2727273,3,2.8888888,1.1,2.1666667,1.4,1.1666666,2.5,3.25,1.3333334,0.80000001,1.4,0.66666669,2.3333333,3.5,4.25,6.1666665,5.5,3.3333333,1,2.8,1,4.75,1.3333334,3,6
Denmark,215,DPP,Radical Right,1.9090909,5.5454545,7.6363635,8,9,9.333333,5.5999999,7.1666665,7,5.1666665,6,8.25,6.1666665,7,3,2,9,8.833333,6.25,5,4.25,5,2.6666667,2.5999999,10,5,1.3333334,3,4.5
Denmark,218,LA,Liberal,4.6363635,8.363636,4.5454545,7.818182,6.5454545,5.6666665,8.5,6.6666665,6.1999998,9,7.25,4.5,5.1666665,3.5999999,1.6,1.3333334,6.3333335,5.1666665,5,1.5,5.25,4.1999998,1.3333334,2.5999999,4,4,3.3333333,6.25,2.25
Denmark,219,ALT,Green,5.181818,2.3636363,1.7272727,2,3.2727273,2.5555556,2.3,2.1666667,0.80000001,2.1666667,3.25,2.75,2,0.40000001,1.4,1,1.6666666,2,5,5.1999998,2.5,2.5,1,2.5999999,1,5.5,3.5,4.25,4.5
Denmark,220,NB,Radical Right,2.5454545,7.909091,7.181818,8.818182,9.090909,9.1111107,8,7.6666665,6.5999999,8,6.75,8.333333,7.1999998,6.8000002,3.25,1,9,8.833333,5.6666665,3.75,5.3333335,5.5,2,2.5999999,10,4.75,1.6666666,4,3.75
Denmark,221,M,Liberal,6.3636365,5.6363635,3.8181818,5.5454545,5.818182,6.5555553,5.8000002,4.6666665,4.75,5.5,4.75,6.5,4.3333335,4,1.6,1.3333334,5.5,4.6666665,4.5,3.5,6.25,6,1.3333334,2.5999999,4,2.25,5.3333335,6,1.75
Denmark,222,DD,Radical Right,3.1818182,6.7272725,6.5454545,7.5454545,8.727273,9,5.5999999,7.3333335,7.8000002,5.6666665,5.75,8,5.3333335,6.8000002,2.4000001,1.3333334,8.666667,8.833333,7,5.1666665,2.75,4.8333335,2.3333333,2.5999999,8,5.25,2,3.75,3.6666667
Germany,301,CDU,Christian-Democratic,6.4210525,6.5789475,6.5555553,6.5789475,7.2105265,7.3888888,6.3888888,5.4444447,5.8000002,6.25,6.1666665,7.1111112,5.3333335,5.4000001,4.375,6.375,5.875,5.8571429,6.181818,3.5714285,3.6666667,4,1,4,4.75,2.6363637,4.3333335,6,1.8
Germany,302,SPD,Socialist,6.3684211,3.4736843,3.6111112,3.4736843,5,4.1666665,2.8888888,3.3333333,3.4000001,2.3333333,3.3333333,4.2222223,3.6666667,3,2.375,2.875,2.875,3.2857144,3.6363637,5.2857141,6.3333335,3.3333333,1,4,1.25,3.090909,4.6666665,5.5714288,4.1999998
Germany,303,FDP,Liberal,5.8421054,7.5789475,3.2222223,6.0555553,6.0555553,5.1176472,8.1111107,6.3333335,6.6999998,8.833333,8,2.6666667,4,3,1.75,2,3.4285715,2.7142856,3.090909,1.8571428,4.3333335,2.6666667,0.66666669,4.1428571,3.5,3.9000001,4,6.8333335,2.2
Germany,304,Grunen,Green,6.7894735,3.3684211,1.6111112,3.0555556,2.4736843,1.3888888,3.0555556,0.55555558,0.89999998,2.1666667,3.5,1.8888888,2.1111112,1.8,1.875,2.75,0.75,1.2857143,2.909091,4.7142859,5.6666665,2.5833333,1,4.5714288,2,4.818182,5.8333335,5.5714288,2.4000001
Germany,306,DL,Radical Left,3.7222223,1.3684211,2.2941177,1.4210526,2.5625,2,0.94444442,4.2222223,2.1111112,1.1666666,1.5,3,2.3333333,1.1111112,2.375,1.5714285,1.25,1.7142857,2.5555556,8,7,3.5999999,1.6666666,5.2857141,3,4.3333335,2.5,2.7142856,8
