country,country_text_id,gdp_pcap,population,unemployment_rate,gdp_growth,resource_rents,oil,life_expectancy,liberal_democracy,autonomy,political_stability,any_attacks,any_attacks_prior_year
Afghanistan,AFG,529.144912477888,38972230,11.71,-2.3511006734461,0.305978171646739,0.00517761905886768,62.575,0.422,Autonomous,-2.656,yes,yes
Albania,ALB,4418.66087378292,2837849,12.833,-3.30208203862541,0.775369617467959,0.582225701330423,76.989,0.816,Autonomous,0.111,yes,yes
Algeria,DZA,3873.50874565769,43451666,14.036,-5.09999999763123,14.0343770936226,9.03841379679424,74.453,0.37,Autonomous,-1.044,yes,yes
Angola,AGO,2435.02485749107,33428486,16.698,-5.63821471714934,20.2476653863539,18.5719595053837,62.261,0.374,Autonomous,-0.359,no,yes
Argentina,ARG,11346.6521128461,45376763,11.46,-9.9004848136464,1.42962432529499,0.677055565819106,75.892,0.79,Autonomous,-0.091,yes,yes
Armenia,ARM,4256.13122785453,2805608,12.18,-7.19999999920631,2.4219055107181102,0,72.173,0.707,Autonomous,-0.413,no,no
Australia,AUS,58082.4265799182,25649248,6.46,-0.33468635945016,6.09315865556076,0.108188865636013,83.2,0.963,Autonomous,0.912,yes,yes
Austria,AUT,43343.9718951136,8916864,5.2,-6.63299143662553,0.07085049948111,0.0172756920777442,81.1926829268293,0.911,Autonomous,0.917,no,yes
Azerbaijan,AZE,5083.56025445721,10093121,7.24,-4.30000010230737,13.0027347945894,11.1476827315754,66.868,0.165,Autonomous,-0.686,no,no
Bahrain,BHR,22579.3620055846,1477469,1.786,-4.64463735878491,10.7041414154858,6.69558923237194,79.174,0.16,Semi-Autonomous,-0.627,no,no
Bangladesh,BGD,1593.34739987361,167420951,5.316,3.44802562762527,0.560867699425496,0.0164788319009585,71.968,0.22,Autonomous,-0.933,yes,yes
Barbados,BRB,15067.4369830702,280693,9.743,-12.7379887726406,0.138343276363777,0.118477272101359,77.393,0.852,Autonomous,1.049,no,no
